year,age,suicides/100k pop,sex
1987,20,6.71,1
1987,45,5.19,1
1987,20,4.83,0
1987,80,4.59,1
1987,30,3.28,1
1987,80,2.81,0
1987,45,2.15,0
1987,30,1.56,0
1987,65,0.73,1
1987,10,0.0,0
1987,65,0.0,0
1987,10,0.0,1
1988,80,5.49,0
1988,20,5.33,1
1988,80,4.48,1
1988,45,4.46,1
1988,65,2.85,1
1988,20,2.71,0
1988,65,2.03,0
1988,30,1.91,0
1988,30,1.79,1
1988,45,1.41,0
1988,10,0.0,0
1988,10,0.0,1
1989,80,8.89,1
1989,30,6.35,1
1989,45,4.71,1
1989,65,4.22,1
1989,20,3.71,1
1989,45,2.43,0
1989,20,1.67,0
1989,30,0.75,0
1989,65,0.67,0
1989,10,0.0,0
1989,80,0.0,0
1989,10,0.0,1
1992,45,3.49,1
1992,20,3.41,1
1992,65,3.13,1
1992,30,2.85,1
1992,20,2.39,0
1992,30,1.5,0
1992,45,0.62,0
1992,65,0.61,0
1992,10,0.0,0
1992,80,0.0,0
1992,10,0.0,1
1992,80,0.0,1
1993,20,7.4,1
1993,65,4.24,1
1993,80,4.13,1
1993,30,3.91,1
1993,20,3.51,0
1993,45,2.85,1
1993,30,2.67,0
1993,45,2.11,0
1993,65,1.18,0
1993,10,0.29,0
1993,10,0.27,1
1993,80,0.0,0
1994,80,8.13,1
1994,65,6.42,1
1994,80,5.01,0
1994,30,2.59,1
1994,45,2.48,1
1994,20,2.48,1
1994,20,2.12,0
1994,30,1.53,0
1994,45,0.58,0
1994,65,0.57,0
1994,10,0.27,1
1994,10,0.0,0
1995,30,5.58,1
1995,65,5.06,1
1995,80,4.9,0
1995,20,4.59,0
1995,20,4.56,1
1995,80,3.98,1
1995,45,3.72,1
1995,30,2.65,0
1995,45,2.24,0
1995,10,1.59,1
1995,65,1.11,0
1995,10,0.57,0
1996,80,7.87,1
1996,20,6.98,1
1996,30,5.95,1
1996,20,5.56,0
1996,80,4.85,0
1996,30,3.73,0
1996,45,3.16,1
1996,45,2.49,0
1996,65,1.67,1
1996,65,0.55,0
1996,10,0.53,1
1996,10,0.28,0
1997,30,15.25,1
1997,20,13.5,1
1997,80,11.81,1
1997,45,7.88,1
1997,20,7.14,0
1997,65,6.66,1
1997,30,5.84,0
1997,80,4.75,0
1997,45,1.89,0
1997,10,1.66,0
1997,10,1.05,1
1997,65,0.0,0
1998,80,11.63,1
1998,20,10.85,1
1998,20,10.83,0
1998,30,10.82,1
1998,45,7.47,1
1998,65,4.9,1
1998,30,3.63,0
1998,65,3.19,0
1998,45,2.42,0
